index	prediction
486	neutral
487	neutral
488	neutral
489	neutral
490	entailment
491	entailment
492	neutral
493	neutral
494	entailment
495	entailment
496	entailment
497	entailment
498	entailment
499	entailment
500	entailment
501	entailment
502	entailment
503	entailment
504	entailment
505	entailment
506	entailment
507	entailment
508	contradiction
509	contradiction
510	contradiction
511	contradiction
512	entailment
513	contradiction
514	neutral
515	neutral
516	neutral
517	neutral
518	neutral
519	contradiction
520	entailment
521	entailment
522	neutral
523	neutral
524	entailment
525	entailment
526	contradiction
527	contradiction
528	entailment
529	entailment
530	neutral
531	neutral
532	neutral
533	neutral
534	neutral
535	neutral
536	neutral
537	neutral
538	entailment
539	entailment
540	entailment
541	entailment
542	neutral
543	neutral
544	neutral
545	neutral
546	neutral
547	neutral
548	neutral
549	neutral
550	neutral
551	contradiction
552	neutral
553	entailment
554	neutral
555	entailment
556	neutral
557	neutral
558	neutral
559	neutral
560	entailment
561	contradiction
562	neutral
563	contradiction
564	contradiction
565	contradiction
566	contradiction
567	contradiction
568	neutral
569	neutral
570	neutral
571	neutral
572	contradiction
573	contradiction
574	neutral
575	neutral
576	neutral
577	neutral
578	neutral
579	neutral
580	neutral
581	neutral
582	neutral
583	neutral
584	neutral
585	neutral
586	neutral
587	neutral
588	contradiction
589	contradiction
590	contradiction
591	contradiction
592	neutral
593	neutral
594	neutral
595	neutral
596	neutral
597	neutral
598	entailment
599	entailment
600	neutral
601	entailment
602	entailment
603	entailment
604	neutral
605	neutral
606	neutral
607	neutral
608	neutral
609	neutral
610	neutral
611	neutral
612	entailment
613	entailment
614	entailment
615	entailment
616	entailment
617	entailment
618	neutral
619	neutral
620	entailment
621	entailment
622	neutral
623	neutral
624	neutral
625	neutral
626	neutral
627	neutral
628	entailment
629	entailment
630	entailment
631	entailment
632	entailment
633	entailment
634	neutral
635	neutral
636	entailment
637	neutral
638	neutral
639	neutral
640	neutral
641	neutral
642	entailment
643	neutral
644	entailment
645	entailment
646	entailment
647	neutral
648	entailment
649	entailment
650	neutral
651	neutral
652	neutral
653	entailment
654	neutral
655	neutral
656	neutral
657	entailment
658	neutral
659	neutral
660	neutral
661	neutral
662	neutral
663	neutral
664	contradiction
665	contradiction
666	neutral
667	neutral
668	neutral
669	neutral
670	neutral
671	neutral
672	neutral
673	neutral
674	contradiction
675	entailment
676	entailment
677	contradiction
678	entailment
679	contradiction
680	neutral
681	neutral
682	neutral
683	neutral
684	neutral
685	neutral
686	entailment
687	entailment
688	neutral
689	neutral
690	entailment
691	entailment
692	entailment
693	entailment
694	neutral
695	neutral
696	entailment
697	entailment
698	entailment
699	entailment
700	neutral
701	entailment
702	neutral
703	neutral
704	neutral
705	neutral
706	neutral
707	neutral
708	neutral
709	neutral
710	entailment
711	entailment
712	entailment
713	entailment
714	neutral
715	neutral
716	neutral
717	neutral
718	entailment
719	neutral
720	entailment
721	neutral
722	contradiction
723	contradiction
724	entailment
725	entailment
726	entailment
727	entailment
728	neutral
729	neutral
730	neutral
731	neutral
732	neutral
733	neutral
734	neutral
735	neutral
736	neutral
737	neutral
738	neutral
739	neutral
740	neutral
741	neutral
742	neutral
743	neutral
744	neutral
745	neutral
746	neutral
747	neutral
748	neutral
749	neutral
750	neutral
751	neutral
752	neutral
753	neutral
754	entailment
755	neutral
756	entailment
757	entailment
758	entailment
759	entailment
760	neutral
761	neutral
762	entailment
763	entailment
764	entailment
765	entailment
766	entailment
767	entailment
768	entailment
769	entailment
770	entailment
771	entailment
772	neutral
773	neutral
774	entailment
775	entailment
776	entailment
777	entailment
778	entailment
779	entailment
780	neutral
781	neutral
782	neutral
783	neutral
784	neutral
785	neutral
786	neutral
787	neutral
788	entailment
789	entailment
790	entailment
791	entailment
792	neutral
793	neutral
794	neutral
795	neutral
796	entailment
797	entailment
798	entailment
799	entailment
800	entailment
801	entailment
802	entailment
803	entailment
804	entailment
805	entailment
806	entailment
807	entailment
808	neutral
809	neutral
810	neutral
811	neutral
812	contradiction
813	contradiction
814	entailment
815	entailment
816	neutral
817	neutral
818	neutral
819	neutral
820	neutral
821	neutral
822	contradiction
823	contradiction
824	entailment
825	entailment
826	entailment
827	entailment
828	neutral
829	neutral
830	neutral
831	neutral
832	entailment
833	entailment
834	entailment
835	entailment
836	entailment
837	entailment
838	entailment
839	entailment
840	neutral
841	neutral
842	entailment
843	entailment
844	neutral
845	neutral
846	entailment
847	entailment
848	entailment
849	entailment
850	neutral
851	neutral
852	neutral
853	neutral
854	entailment
855	contradiction
856	entailment
857	entailment
858	entailment
859	entailment
860	entailment
861	entailment
862	neutral
863	neutral
864	entailment
865	entailment
866	entailment
867	entailment
868	entailment
869	entailment
870	entailment
871	entailment
872	entailment
873	entailment
874	entailment
875	entailment
876	entailment
877	entailment
878	neutral
879	neutral
880	entailment
881	entailment
882	neutral
883	neutral
884	entailment
885	entailment
886	entailment
887	neutral
888	entailment
889	neutral
890	neutral
891	neutral
892	neutral
893	neutral
894	entailment
895	entailment
896	entailment
897	entailment
898	entailment
899	entailment
900	entailment
901	entailment
902	entailment
903	entailment
904	entailment
905	entailment
906	entailment
907	entailment
908	entailment
909	entailment
910	entailment
911	entailment
912	neutral
913	neutral
914	entailment
915	entailment
916	entailment
917	entailment
918	neutral
919	neutral
920	neutral
921	neutral
922	entailment
923	entailment
924	entailment
925	entailment
926	entailment
927	entailment
928	entailment
929	entailment
930	entailment
931	entailment
932	entailment
933	entailment
934	entailment
935	neutral
936	entailment
937	entailment
938	entailment
939	entailment
940	entailment
941	entailment
942	entailment
943	entailment
944	neutral
945	neutral
946	neutral
947	neutral
948	neutral
949	neutral
950	contradiction
951	neutral
952	entailment
953	contradiction
954	entailment
955	neutral
956	contradiction
957	contradiction
958	contradiction
959	contradiction
960	neutral
961	entailment
962	neutral
963	entailment
964	contradiction
965	entailment
966	neutral
967	entailment
968	contradiction
969	contradiction
970	contradiction
971	contradiction
972	contradiction
973	contradiction
974	contradiction
975	contradiction
976	contradiction
977	contradiction
978	contradiction
979	contradiction
980	neutral
981	neutral
982	neutral
983	neutral
984	neutral
985	neutral
986	entailment
987	entailment
988	neutral
989	neutral
990	neutral
991	neutral
992	contradiction
993	contradiction
994	contradiction
995	contradiction
996	contradiction
997	contradiction
998	contradiction
999	contradiction
1000	neutral
1001	contradiction
1002	neutral
1003	contradiction
1004	neutral
1005	entailment
1006	neutral
1007	entailment
1008	entailment
1009	entailment
1010	neutral
1011	neutral
1012	neutral
1013	neutral
1014	neutral
1015	neutral
1016	neutral
1017	neutral
1018	contradiction
1019	entailment
1020	entailment
1021	neutral
1022	contradiction
1023	entailment
1024	contradiction
1025	neutral
1026	contradiction
1027	neutral
1028	entailment
1029	entailment
1030	entailment
1031	entailment
1032	contradiction
1033	contradiction
1034	entailment
1035	entailment
1036	entailment
1037	entailment
1038	neutral
1039	entailment
1040	entailment
1041	entailment
1042	neutral
1043	entailment
1044	contradiction
1045	contradiction
1046	contradiction
1047	entailment
1048	entailment
1049	contradiction
1050	entailment
1051	entailment
1052	contradiction
1053	contradiction
1054	neutral
1055	neutral
1056	neutral
1057	neutral
1058	neutral
1059	neutral
1060	neutral
1061	neutral
1062	neutral
1063	neutral
1064	contradiction
1065	neutral
1066	contradiction
1067	neutral
1068	neutral
1069	neutral
1070	neutral
1071	neutral
1072	neutral
1073	neutral
1074	contradiction
1075	contradiction
1076	contradiction
1077	contradiction
1078	contradiction
1079	contradiction
1080	neutral
1081	neutral
1082	neutral
1083	neutral
1084	neutral
1085	entailment
1086	entailment
1087	neutral
1088	entailment
1089	neutral
1090	neutral
1091	neutral
1092	neutral
1093	neutral
1094	neutral
1095	neutral
1096	neutral
1097	neutral
1098	neutral
1099	neutral
1100	entailment
1101	entailment
1102	entailment
1103	entailment
